Group,Server,RegionCode,ProvCode,ProvinceName,จำนวนประชากร,time_begin,time_end_join,time_difference_join,time_end,time_difference_insert,time_difference_all,Shape of df_building,Shape of df_household,Shape of df_merged_bh,Shape of df_population,Shape of df_merged_bhp_merged,Shape of df_m_control_ea,Shape of df_final_merged,data_all_insert
3,192.168.0.204,6,50,เชียงใหม่,"1,798,533",2025-09-05 01:31:54,2025-09-05 01:40:53,0:08:59.146078,2025-09-05 05:42:27,4:01:33.508074,4:10:32.654152,"(590864, 55)","(450142, 20)","(605392, 75)","(1010757, 36)","(1184843, 111)","(3931, 20)","(1184843, 133)",1184843.0
3,192.168.0.204,6,51,ลำพูน,"395,559",2025-09-05 05:42:27,2025-09-05 05:50:39,0:08:12.694610,2025-09-05 07:11:29,1:20:49.757456,1:29:02.452066,"(154931, 55)","(148496, 20)","(172023, 75)","(348257, 36)","(374645, 111)","(916, 20)","(374645, 133)",374645.0
3,192.168.0.204,6,52,ลำปาง,"699,420",2025-09-05 07:11:29,2025-09-05 07:19:54,0:08:25.145151,2025-09-05 09:33:25,2:13:31.090856,2:21:56.236007,"(241575, 55)","(215466, 20)","(245282, 75)","(504744, 36)","(535521, 111)","(1453, 20)","(535521, 133)",535521
3,192.168.0.204,6,53,อุตรดิตถ์,"434,331",,,,,,,,,,,,,,
3,192.168.0.204,6,54,แพร่,"419,026",,,,,,,,,,,,,,
3,192.168.0.204,6,55,น่าน,"468,957",,,,,,,,,,,,,,
3,192.168.0.204,6,56,พะเยา,"452,809",,,,,,,,,,,,,,
3,192.168.0.204,6,57,เชียงราย,"1,296,808",,,,,,,,,,,,,,
3,192.168.0.204,6,58,แม่ฮ่องสอน,"288,504",,,,,,,,,,,,,,
3,192.168.0.204,6,60,นครสวรรค์,"1,009,878",9/3/2025 17:47,9/3/2025 17:55,08:26.0,9/3/2025 20:26,31:06.0,39:31.8,"(293566, 55)","(278168, 20)","(301126, 75)","(691406, 36)","(714378, 111)","(2003, 20)","(714281, 133)",714281.0
3,192.168.0.204,6,61,อุทัยธานี,"319,405",9/3/2025 21:06,9/3/2025 21:15,08:18.8,9/4/2025 0:01,45:57.4,54:16.2,"(103119, 55)","(92868, 20)","(104214, 75)","(233032, 36)","(243660, 111)","(709, 20)","(243660, 133)",243660.0
3,192.168.0.204,6,62,กำแพงเพชร,"698,137",9/4/2025 0:01,9/4/2025 0:10,08:51.4,9/4/2025 2:16,06:32.7,15:24.1,"(201291, 55)","(179241, 20)","(205449, 75)","(477775, 36)","(504973, 111)","(1190, 20)","(504973, 133)",504973.0
3,192.168.0.204,6,63,ตาก,"702,343",9/4/2025 2:16,9/4/2025 2:24,08:19.0,9/4/2025 3:54,29:40.6,37:59.6,"(154801, 55)","(141610, 20)","(158079, 75)","(406839, 36)","(423746, 111)","(862, 20)","(423746, 133)",423746.0
3,192.168.0.204,6,64,สุโขทัย,"570,640",9/4/2025 3:54,9/4/2025 4:03,08:23.7,9/4/2025 5:33,29:58.2,38:21.9,"(181277, 55)","(157838, 20)","(183378, 75)","(395095, 36)","(420873, 111)","(1023, 20)","(420873, 133)",420873.0
3,192.168.0.204,6,65,พิษณุโลก,"836,907",9/4/2025 5:33,9/4/2025 5:41,08:25.9,9/4/2025 7:48,06:52.3,15:18.2,"(241080, 55)","(208197, 20)","(244340, 75)","(537715, 36)","(575153, 111)","(1581, 20)","(573022, 133)",573022.0
3,192.168.0.204,6,66,พิจิตร,"514,355",2025-09-04 07:48:18,2025-09-04 07:56:58,0:08:39.323293,2025-09-04 09:35:12,1:38:14.044342,1:46:53.367635,"(161963, 55)","(145235, 20)","(164207, 75)","(332898, 36)","(352263, 111)","(1068, 20)","(352263, 133)",352263.0
3,192.168.0.204,6,67,เพชรบูรณ์,"956,429",,,,,,,,,,,,,,
